X,Y,Handelaar,Info,Productinf,Periode,Openingsur,Thuisverko,icon_url
3.27646860695369,51.2708852041855,Bil-Fockedey,"Jacques Bil - Lut Fockedey<div>Versevaartdijk 3</div><div>Oostkerke</div><div><br /></div><div>050 33 87 52</div><div><a href=""mailto:lut.fockedey@damme.be"" target=""_self"">lut.fockedey@damme.be</a><br /></div>",Aardappelen,"<div style=""text-align: left;"">Heel het jaar beschikbaar. 
Vanaf eind juni nieuwe primeuraardappelen. </div><div> Daarna bewaaraardappelen (bintjes)</div>",Alle dagen,Aardappelen,./0.png
3.32565401374956,51.2352414470982,De Damse Knotwilgenhoeve,"Geert Van Damme<div>Weststraat 31</div><div>Moerkerke</div><div><br /></div><div>050 50 06 77</div><div><a href=""mailto:geert.van.damme3@telenet.be"" target=""_self"">geert.van.damme3@telenet.be</a><br /></div>","Aardappelen
Seizoensgebonden groenten en fruit",Heel het jaar beschikbaar,Alle dagen: 9.30 - 18.00 uur<div>Donderdag en zon-en feestdagen gesloten</div><div>Aardappelautomaat: 24/24 alle dagen</div>,Aardappelen,./0.png
3.29018427415594,51.250056783382,D'Hoge Brugge,"Marc Lierman<div>Oude Sluissedijk 3A</div><div>Damme</div><div><br /></div><div>050 50 13 12</div><div><a href=""mailto:marc.lierman@telenet.be"" target=""_self"">marc.lierman@telenet.be</a><br /></div>",Aardappelen,Heer het jaar beschikbaar,Alle dagen,Aardappelen,./0.png
3.34929579532721,51.2503547872501,Rietschuurhoeve,"Christiaan Snauwaert<div>Damweg 2</div><div>Moerkerke</div><div><br /></div><div>050 50 07 47</div><div><a href=""mailto:christiaan.snauwaert@skynet.be"" target=""_self"">christiaan.snauwaert@skynet.be</a><br /></div>",Aardappelen: bintjes (laat) en fresco (vroeg),Heel het jaar beschikbaar,Alla dagen: 7:00 - 21:00 uur,Aardappelen,./0.png
3.3491888861653,51.2344969754889,Depestel,"Luc Depestel<div>Sarepatstraat 1</div><div>Moerkerke</div><div><br /></div><div>050 50 12 34</div><div><a href=""mailto:maria.vereecken@pandora.be"" target=""_self"">maria.vereecken@pandora.be</a><br /></div>",Aardbeien,Beschikbaar van eind maart tot half januari.,"Alle dagen: 9:00 - 12:00 uur en 13.30 - 18 uur<div>Zondagvoormiddag op bestelling.
zondagnamiddag</div><div>gesloten.</div><div>Aardbeienautomaat: 24/24 alle dagen.</div>",Groenten en fruit,./1.png
3.35941349553452,51.2358336998681,Dewaele,"Ronny en Willem Dewaele<div>Scheewege 20</div><div>Moerkerke</div><div><br /></div><div>0496 55 04 00 - 0473 76 32 54</div><div><a href=""mailto:willemdewaele@hotmail.com"" target=""_self"">willemdewaele@hotmail.com</a><br /></div>","Aardbeien uit volle grond, meloenen en aardappelen.
Producten van biologische teelt in omschakeling.",Beschikbaarheid van de producten: <div>aardbeien: van mei tot en met eind augustus</div><div>meloenen: van eind juli tot en met oktober</div><div>aardappelen: van mei tot in het najaar<br /></div>,Alle dagen: 8.30 - 20.30 uur<div><div>Aardbeien op alle evenementen</div></div>,Groenten en fruit,./1.png
3.3739214813242,51.2522623401797,Krulstaarthoeve,"Geert Maenhout<div>Damweg 34</div><div>Den Hoorn</div><div><br /></div><div>050 50 01 84</div><div><a href=""mailto:annick.devacht@telenet.be"" target=""_self"">annick.devacht@telenet.be</a><br /></div>","Aardappelen, prei, grondwitloof, pompoen, verse hoeve eieren, tomaten",Beschikbaar naargelang het seizoen,"Maandag: 13.15 - 18.30 uur<div>Woensdag: 9.00 - 12.15 uur</div><div>Dinsdag, donderdag, vrijdag, zaterdag: 9.00 - 12.15 uur en 13.15 - 18.30 uur</div><div>Zon- en feestdagen gesloten</div>",Groenten en fruit,./1.png
3.34265473877852,51.2524633378457,Snauwaert,Luc Snauwaert<div>Molentje 15</div><div>Moerkerke</div><div><br /></div><div>050 50 06 38</div>,"Winter: witloof, rode kool, savooikool, spruiten, knolselder, rode biet, pompoen, wortelen, prei, selder, veldsla",Aardbeien beschikbaar in mei en juni.<div>Witloof beschikbaar van oktober tot en met april.</div><div>Aardappelen bijna heel het jaar beschikbaar.</div>,Maandag tot en met vrijdag: 9.00 - 12.30 uur en 14.00 - 19.00 uur<div>Zaterdag: 9.00 - 12.30 uur en 14.00 - 18.00 uur</div><div>Zondag gesloten</div>,Groenten en fruit,./1.png
3.32937292042694,51.2354487627608,Steffi Fruit,Marc Verstrynge<div>Weststraat 12</div><div>Moerkerke</div>,"Peren: conference, doyenne<div>Aardappelen: boskoop, jonagold, pirouette, elstar, delbar</div>",10 september tot eind december,Maandag tot en met vrijdag: 17.00 - 20.00 uur<div>Heel het jaar door open op zaterdag van 9.00 - 14.00 uur voor de verkoop van appelsap.</div>,Groenten en fruit,./1.png
3.35552759731569,51.2181175068932,Ter Doorn,"Rik Broux<div>Doornstraat 20A</div><div>Sijsele</div><div><br /></div><div>0497 42 89 41</div><div><a href=""mailto:rik@terdoorn.be"" target=""_self"">rik@terdoorn.be</a><br /></div>","Uitsluitend biologische groenen en fruit (controle BLIK): aardbeien, asperges, verschillende salsoorten, courgette, pompoen, broccoli, doperwten, boontjes, knolvenkel.",Beschikbaar van mei tot oktober.,"in mei en juli:<div>Maandag, dinsdag, woensdag en donderdag: 14.00 - 18.00 uur</div><div>Zondag: 10.00 - 12.00 uur</div><div>Vrijdag en zaterdag gesloten</div>",Groenten en fruit,./1.png
